Transaction_ID,Product,Business_Unit,Indication,Region,State,Territory,HCP_Speciality,Sales_Representative,Quantity,Sales_Value,Transaction_Date,Notes
TXN00011,PNEUMOVAX 23,Vaccines,Pneumococcal Disease,South,Maharashtra,T002,Oncologist,Rep_2,10,185623,2026-04-13,"Product Overview: PNEUMOVAX 23 is used in Pneumococcal Disease. Clinical discussion covered approved indications, patient eligibility, efficacy, safety, monitoring, treatment pathway, and physician education. Sales discussion included customer questions, objections, market access, competitor comparison, follow-up planning, CRM updates, scientific literature sharing, compliant promotion, and future engagement opportunities. Territory insights included prescription trends, customer behavior, business opportunities, formulary discussions, regional planning, call objectives, meeting outcomes, and action items. Product Overview: PNEUMOVAX 23 is used in Pneumococcal Disease. Clinical discussion covered approved indications, patient eligibility, efficacy, safety, monitoring, treatment pathway, and physician education. Sales discussion included customer questions, objections, market access, competitor comparison, follow-up planning, CRM updates, scientific literature sharing, compliant promotion, and future engagement opportunities. Territory insights included prescription trends, customer behavior, business opportunities, formulary discussions, regional planning, call objectives, meeting outcomes, and action items. Product Overview: PNEUMOVAX 23 is used in Pneumococcal Disease. Clinical discussion covered approved indications, patient eligibility, efficacy, safety, monitoring, treatment pathway, and physician education. Sales discussion included customer questions, objections, market access, competitor comparison, follow-up planning, CRM updates, scientific literature sharing, compliant promotion, and future engagement opportunities. Territory insights included prescription trends, customer behavior, business opportunities, formulary discussions, regional planning, call objectives, meeting outcomes, and action items. "
TXN00012,PNEUMOVAX 23,Vaccines,Pneumococcal Disease,North,Karnataka,T002,Physician,Rep_5,9,193577,2026-07-28,"Product Overview: PNEUMOVAX 23 is used in Pneumococcal Disease. Clinical discussion covered approved indications, patient eligibility, efficacy, safety, monitoring, treatment pathway, and physician education. Sales discussion included customer questions, objections, market access, competitor comparison, follow-up planning, CRM updates, scientific literature sharing, compliant promotion, and future engagement opportunities. Territory insights included prescription trends, customer behavior, business opportunities, formulary discussions, regional planning, call objectives, meeting outcomes, and action items. Product Overview: PNEUMOVAX 23 is used in Pneumococcal Disease. Clinical discussion covered approved indications, patient eligibility, efficacy, safety, monitoring, treatment pathway, and physician education. Sales discussion included customer questions, objections, market access, competitor comparison, follow-up planning, CRM updates, scientific literature sharing, compliant promotion, and future engagement opportunities. Territory insights included prescription trends, customer behavior, business opportunities, formulary discussions, regional planning, call objectives, meeting outcomes, and action items. Product Overview: PNEUMOVAX 23 is used in Pneumococcal Disease. Clinical discussion covered approved indications, patient eligibility, efficacy, safety, monitoring, treatment pathway, and physician education. Sales discussion included customer questions, objections, market access, competitor comparison, follow-up planning, CRM updates, scientific literature sharing, compliant promotion, and future engagement opportunities. Territory insights included prescription trends, customer behavior, business opportunities, formulary discussions, regional planning, call objectives, meeting outcomes, and action items. "
TXN00013,JANUVIA,Diabetes,Type 2 Diabetes,West,Delhi,T003,Physician,Rep_2,5,137015,2026-03-05,"Product Overview: JANUVIA is used in Type 2 Diabetes. Clinical discussion covered approved indications, patient eligibility, efficacy, safety, monitoring, treatment pathway, and physician education. Sales discussion included customer questions, objections, market access, competitor comparison, follow-up planning, CRM updates, scientific literature sharing, compliant promotion, and future engagement opportunities. Territory insights included prescription trends, customer behavior, business opportunities, formulary discussions, regional planning, call objectives, meeting outcomes, and action items. Product Overview: JANUVIA is used in Type 2 Diabetes. Clinical discussion covered approved indications, patient eligibility, efficacy, safety, monitoring, treatment pathway, and physician education. Sales discussion included customer questions, objections, market access, competitor comparison, follow-up planning, CRM updates, scientific literature sharing, compliant promotion, and future engagement opportunities. Territory insights included prescription trends, customer behavior, business opportunities, formulary discussions, regional planning, call objectives, meeting outcomes, and action items. Product Overview: JANUVIA is used in Type 2 Diabetes. Clinical discussion covered approved indications, patient eligibility, efficacy, safety, monitoring, treatment pathway, and physician education. Sales discussion included customer questions, objections, market access, competitor comparison, follow-up planning, CRM updates, scientific literature sharing, compliant promotion, and future engagement opportunities. Territory insights included prescription trends, customer behavior, business opportunities, formulary discussions, regional planning, call objectives, meeting outcomes, and action items. "
TXN00014,WELIREG,Oncology,Renal Cell Carcinoma,North,Tamil Nadu,T003,Oncologist,Rep_3,10,54292,2026-03-14,"Product Overview: WELIREG is used in Renal Cell Carcinoma. Clinical discussion covered approved indications, patient eligibility, efficacy, safety, monitoring, treatment pathway, and physician education. Sales discussion included customer questions, objections, market access, competitor comparison, follow-up planning, CRM updates, scientific literature sharing, compliant promotion, and future engagement opportunities. Territory insights included prescription trends, customer behavior, business opportunities, formulary discussions, regional planning, call objectives, meeting outcomes, and action items. Product Overview: WELIREG is used in Renal Cell Carcinoma. Clinical discussion covered approved indications, patient eligibility, efficacy, safety, monitoring, treatment pathway, and physician education. Sales discussion included customer questions, objections, market access, competitor comparison, follow-up planning, CRM updates, scientific literature sharing, compliant promotion, and future engagement opportunities. Territory insights included prescription trends, customer behavior, business opportunities, formulary discussions, regional planning, call objectives, meeting outcomes, and action items. Product Overview: WELIREG is used in Renal Cell Carcinoma. Clinical discussion covered approved indications, patient eligibility, efficacy, safety, monitoring, treatment pathway, and physician education. Sales discussion included customer questions, objections, market access, competitor comparison, follow-up planning, CRM updates, scientific literature sharing, compliant promotion, and future engagement opportunities. Territory insights included prescription trends, customer behavior, business opportunities, formulary discussions, regional planning, call objectives, meeting outcomes, and action items. "
TXN00015,JANUVIA,Diabetes,Type 2 Diabetes,East,Karnataka,T003,Surgeon,Rep_5,2,528825,2026-07-13,"Product Overview: JANUVIA is used in Type 2 Diabetes. Clinical discussion covered approved indications, patient eligibility, efficacy, safety, monitoring, treatment pathway, and physician education. Sales discussion included customer questions, objections, market access, competitor comparison, follow-up planning, CRM updates, scientific literature sharing, compliant promotion, and future engagement opportunities. Territory insights included prescription trends, customer behavior, business opportunities, formulary discussions, regional planning, call objectives, meeting outcomes, and action items. Product Overview: JANUVIA is used in Type 2 Diabetes. Clinical discussion covered approved indications, patient eligibility, efficacy, safety, monitoring, treatment pathway, and physician education. Sales discussion included customer questions, objections, market access, competitor comparison, follow-up planning, CRM updates, scientific literature sharing, compliant promotion, and future engagement opportunities. Territory insights included prescription trends, customer behavior, business opportunities, formulary discussions, regional planning, call objectives, meeting outcomes, and action items. Product Overview: JANUVIA is used in Type 2 Diabetes. Clinical discussion covered approved indications, patient eligibility, efficacy, safety, monitoring, treatment pathway, and physician education. Sales discussion included customer questions, objections, market access, competitor comparison, follow-up planning, CRM updates, scientific literature sharing, compliant promotion, and future engagement opportunities. Territory insights included prescription trends, customer behavior, business opportunities, formulary discussions, regional planning, call objectives, meeting outcomes, and action items. "
TXN00016,PNEUMOVAX 23,Vaccines,Pneumococcal Disease,North,Tamil Nadu,T003,Physician,Rep_1,7,120619,2026-04-15,"Product Overview: PNEUMOVAX 23 is used in Pneumococcal Disease. Clinical discussion covered approved indications, patient eligibility, efficacy, safety, monitoring, treatment pathway, and physician education. Sales discussion included customer questions, objections, market access, competitor comparison, follow-up planning, CRM updates, scientific literature sharing, compliant promotion, and future engagement opportunities. Territory insights included prescription trends, customer behavior, business opportunities, formulary discussions, regional planning, call objectives, meeting outcomes, and action items. Product Overview: PNEUMOVAX 23 is used in Pneumococcal Disease. Clinical discussion covered approved indications, patient eligibility, efficacy, safety, monitoring, treatment pathway, and physician education. Sales discussion included customer questions, objections, market access, competitor comparison, follow-up planning, CRM updates, scientific literature sharing, compliant promotion, and future engagement opportunities. Territory insights included prescription trends, customer behavior, business opportunities, formulary discussions, regional planning, call objectives, meeting outcomes, and action items. Product Overview: PNEUMOVAX 23 is used in Pneumococcal Disease. Clinical discussion covered approved indications, patient eligibility, efficacy, safety, monitoring, treatment pathway, and physician education. Sales discussion included customer questions, objections, market access, competitor comparison, follow-up planning, CRM updates, scientific literature sharing, compliant promotion, and future engagement opportunities. Territory insights included prescription trends, customer behavior, business opportunities, formulary discussions, regional planning, call objectives, meeting outcomes, and action items. "
TXN00017,WELIREG,Oncology,Renal Cell Carcinoma,East,Maharashtra,T001,Oncologist,Rep_5,5,612685,2026-02-12,"Product Overview: WELIREG is used in Renal Cell Carcinoma. Clinical discussion covered approved indications, patient eligibility, efficacy, safety, monitoring, treatment pathway, and physician education. Sales discussion included customer questions, objections, market access, competitor comparison, follow-up planning, CRM updates, scientific literature sharing, compliant promotion, and future engagement opportunities. Territory insights included prescription trends, customer behavior, business opportunities, formulary discussions, regional planning, call objectives, meeting outcomes, and action items. Product Overview: WELIREG is used in Renal Cell Carcinoma. Clinical discussion covered approved indications, patient eligibility, efficacy, safety, monitoring, treatment pathway, and physician education. Sales discussion included customer questions, objections, market access, competitor comparison, follow-up planning, CRM updates, scientific literature sharing, compliant promotion, and future engagement opportunities. Territory insights included prescription trends, customer behavior, business opportunities, formulary discussions, regional planning, call objectives, meeting outcomes, and action items. Product Overview: WELIREG is used in Renal Cell Carcinoma. Clinical discussion covered approved indications, patient eligibility, efficacy, safety, monitoring, treatment pathway, and physician education. Sales discussion included customer questions, objections, market access, competitor comparison, follow-up planning, CRM updates, scientific literature sharing, compliant promotion, and future engagement opportunities. Territory insights included prescription trends, customer behavior, business opportunities, formulary discussions, regional planning, call objectives, meeting outcomes, and action items. "
TXN00018,JANUVIA,Diabetes,Type 2 Diabetes,North,Karnataka,T003,Physician,Rep_2,9,414264,2026-06-16,"Product Overview: JANUVIA is used in Type 2 Diabetes. Clinical discussion covered approved indications, patient eligibility, efficacy, safety, monitoring, treatment pathway, and physician education. Sales discussion included customer questions, objections, market access, competitor comparison, follow-up planning, CRM updates, scientific literature sharing, compliant promotion, and future engagement opportunities. Territory insights included prescription trends, customer behavior, business opportunities, formulary discussions, regional planning, call objectives, meeting outcomes, and action items. Product Overview: JANUVIA is used in Type 2 Diabetes. Clinical discussion covered approved indications, patient eligibility, efficacy, safety, monitoring, treatment pathway, and physician education. Sales discussion included customer questions, objections, market access, competitor comparison, follow-up planning, CRM updates, scientific literature sharing, compliant promotion, and future engagement opportunities. Territory insights included prescription trends, customer behavior, business opportunities, formulary discussions, regional planning, call objectives, meeting outcomes, and action items. Product Overview: JANUVIA is used in Type 2 Diabetes. Clinical discussion covered approved indications, patient eligibility, efficacy, safety, monitoring, treatment pathway, and physician education. Sales discussion included customer questions, objections, market access, competitor comparison, follow-up planning, CRM updates, scientific literature sharing, compliant promotion, and future engagement opportunities. Territory insights included prescription trends, customer behavior, business opportunities, formulary discussions, regional planning, call objectives, meeting outcomes, and action items. "
TXN00019,KEYTRUDA,Oncology,NSCLC,West,Tamil Nadu,T002,Physician,Rep_3,3,201118,2026-02-24,"Product Overview: KEYTRUDA is used in NSCLC. Clinical discussion covered approved indications, patient eligibility, efficacy, safety, monitoring, treatment pathway, and physician education. Sales discussion included customer questions, objections, market access, competitor comparison, follow-up planning, CRM updates, scientific literature sharing, compliant promotion, and future engagement opportunities. Territory insights included prescription trends, customer behavior, business opportunities, formulary discussions, regional planning, call objectives, meeting outcomes, and action items. Product Overview: KEYTRUDA is used in NSCLC. Clinical discussion covered approved indications, patient eligibility, efficacy, safety, monitoring, treatment pathway, and physician education. Sales discussion included customer questions, objections, market access, competitor comparison, follow-up planning, CRM updates, scientific literature sharing, compliant promotion, and future engagement opportunities. Territory insights included prescription trends, customer behavior, business opportunities, formulary discussions, regional planning, call objectives, meeting outcomes, and action items. Product Overview: KEYTRUDA is used in NSCLC. Clinical discussion covered approved indications, patient eligibility, efficacy, safety, monitoring, treatment pathway, and physician education. Sales discussion included customer questions, objections, market access, competitor comparison, follow-up planning, CRM updates, scientific literature sharing, compliant promotion, and future engagement opportunities. Territory insights included prescription trends, customer behavior, business opportunities, formulary discussions, regional planning, call objectives, meeting outcomes, and action items. "
TXN00020,GARDASIL 9,Vaccines,HPV Prevention,West,Karnataka,T003,Oncologist,Rep_2,17,429324,2026-03-23,"Product Overview: GARDASIL 9 is used in HPV Prevention. Clinical discussion covered approved indications, patient eligibility, efficacy, safety, monitoring, treatment pathway, and physician education. Sales discussion included customer questions, objections, market access, competitor comparison, follow-up planning, CRM updates, scientific literature sharing, compliant promotion, and future engagement opportunities. Territory insights included prescription trends, customer behavior, business opportunities, formulary discussions, regional planning, call objectives, meeting outcomes, and action items. Product Overview: GARDASIL 9 is used in HPV Prevention. Clinical discussion covered approved indications, patient eligibility, efficacy, safety, monitoring, treatment pathway, and physician education. Sales discussion included customer questions, objections, market access, competitor comparison, follow-up planning, CRM updates, scientific literature sharing, compliant promotion, and future engagement opportunities. Territory insights included prescription trends, customer behavior, business opportunities, formulary discussions, regional planning, call objectives, meeting outcomes, and action items. Product Overview: GARDASIL 9 is used in HPV Prevention. Clinical discussion covered approved indications, patient eligibility, efficacy, safety, monitoring, treatment pathway, and physician education. Sales discussion included customer questions, objections, market access, competitor comparison, follow-up planning, CRM updates, scientific literature sharing, compliant promotion, and future engagement opportunities. Territory insights included prescription trends, customer behavior, business opportunities, formulary discussions, regional planning, call objectives, meeting outcomes, and action items. "
TXN00021,JANUVIA,Diabetes,Type 2 Diabetes,East,Maharashtra,T003,Physician,Rep_5,12,225156,2026-06-25,"Product Overview: JANUVIA is used in Type 2 Diabetes. Clinical discussion covered approved indications, patient eligibility, efficacy, safety, monitoring, treatment pathway, and physician education. Sales discussion included customer questions, objections, market access, competitor comparison, follow-up planning, CRM updates, scientific literature sharing, compliant promotion, and future engagement opportunities. Territory insights included prescription trends, customer behavior, business opportunities, formulary discussions, regional planning, call objectives, meeting outcomes, and action items. Product Overview: JANUVIA is used in Type 2 Diabetes. Clinical discussion covered approved indications, patient eligibility, efficacy, safety, monitoring, treatment pathway, and physician education. Sales discussion included customer questions, objections, market access, competitor comparison, follow-up planning, CRM updates, scientific literature sharing, compliant promotion, and future engagement opportunities. Territory insights included prescription trends, customer behavior, business opportunities, formulary discussions, regional planning, call objectives, meeting outcomes, and action items. Product Overview: JANUVIA is used in Type 2 Diabetes. Clinical discussion covered approved indications, patient eligibility, efficacy, safety, monitoring, treatment pathway, and physician education. Sales discussion included customer questions, objections, market access, competitor comparison, follow-up planning, CRM updates, scientific literature sharing, compliant promotion, and future engagement opportunities. Territory insights included prescription trends, customer behavior, business opportunities, formulary discussions, regional planning, call objectives, meeting outcomes, and action items. "
